Version|Variant|Milliseconds|Ticks|ItemCount
3|1|1305|13051191|1000000
3|1|997|9971242|1000000
3|1|949|9496943|1000000
3|1|1177|11766640|1000000
3|1|965|9651299|1000000
3|1|1284|12842666|1000000
3|1|1123|11221008|1000000
3|1|1023|10238991|1000000
3|1|1007|10063322|1000000
3|1|1065|10649246|1000000
3|1|1016|10166827|1000000
3|1|966|9659901|1000000
3|1|895|8944324|1000000
3|1|982|9823060|1000000
3|1|989|9889675|1000000
3|1|931|9305903|1000000
3|1|911|9114422|1000000
3|1|847|8472539|1000000
3|1|880|8800420|1000000
3|1|879|8786291|1000000
3|1|876|8762376|1000000
3|1|891|8905935|1000000
3|1|873|8728642|1000000
3|1|885|8853497|1000000
3|1|847|8472281|1000000
3|1|897|8966227|1000000
3|1|852|8521915|1000000
3|1|916|9161825|1000000
3|1|852|8517372|1000000
3|1|900|8997320|1000000
3|1|932|9323124|1000000
3|1|1001|10004476|1000000
3|1|1026|10266688|1000000
3|1|1023|10228925|1000000
3|1|1036|10359153|1000000
3|1|974|9735034|1000000
3|1|1028|10288021|1000000
3|1|921|9202347|1000000
3|1|963|9633115|1000000
3|1|953|9534673|1000000
3|1|861|8604760|1000000
3|1|879|8789340|1000000
3|1|834|8340703|1000000
3|1|905|9047788|1000000
3|1|843|8437261|1000000
3|1|900|8994806|1000000
3|1|856|8563355|1000000
3|1|861|8612049|1000000
3|1|865|8645063|1000000
3|1|944|9442686|1000000
3|1|871|8712062|1000000
3|1|960|9597208|1000000
3|1|956|9559783|1000000
3|1|943|9428668|1000000
3|1|836|8359376|1000000
3|1|868|8682900|1000000
3|1|825|8250895|1000000
3|1|955|9548856|1000000
3|1|1010|10100218|1000000
3|1|1069|10683711|1000000
3|1|1059|10593731|1000000
3|1|1036|10357384|1000000
3|1|908|9084870|1000000
3|1|1006|10062955|1000000
3|1|1680|16800529|1000000
3|1|1136|11351285|1000000
3|1|968|9682384|1000000
3|1|833|8328734|1000000
3|1|877|8769329|1000000
3|1|810|8104013|1000000
3|1|953|9529603|1000000
3|1|909|9089885|1000000
3|1|845|8450639|1000000
3|1|917|9165000|1000000
3|1|840|8406320|1000000
3|1|923|9230358|1000000
3|1|951|9504819|1000000
3|1|923|9234452|1000000
3|1|922|9216373|1000000
3|1|870|8698209|1000000
3|1|885|8850888|1000000
3|1|891|8914404|1000000
3|1|1196|11953720|1000000
3|1|946|9464669|1000000
3|1|993|9931133|1000000
3|1|1212|12122395|1000000
3|1|974|9740474|1000000
3|1|987|9867912|1000000
3|1|924|9236750|1000000
3|1|987|9876111|1000000
3|1|902|9019965|1000000
3|1|979|9790179|1000000
3|1|922|9212604|1000000
3|1|981|9814792|1000000
3|1|955|9547757|1000000
3|1|1100|11003585|1000000
3|1|991|9909661|1000000
3|1|1080|10797971|1000000
3|1|1057|10568485|1000000
3|1|1082|10817125|1000000
4|1|758|7585018|1000000
4|1|642|6421902|1000000
4|1|657|6564046|1000000
4|1|685|6855796|1000000
4|1|663|6629668|1000000
4|1|687|6864394|1000000
4|1|607|6075285|1000000
4|1|623|6233405|1000000
4|1|631|6306033|1000000
4|1|660|6601397|1000000
4|1|606|6062109|1000000
4|1|618|6178362|1000000
4|1|661|6609787|1000000
4|1|625|6243879|1000000
4|1|649|6497006|1000000
4|1|624|6240752|1000000
4|1|645|6446680|1000000
4|1|657|6573286|1000000
4|1|629|6285040|1000000
4|1|590|5901240|1000000
4|1|643|6431157|1000000
4|1|607|6072701|1000000
4|1|588|5877300|1000000
4|1|631|6305357|1000000
4|1|584|5841431|1000000
4|1|631|6315117|1000000
4|1|588|5874501|1000000
4|1|613|6136957|1000000
4|1|598|5972228|1000000
4|1|595|5953290|1000000
4|1|597|5969412|1000000
4|1|606|6055927|1000000
4|1|580|5807094|1000000
4|1|591|5908939|1000000
4|1|613|6133046|1000000
4|1|599|5988086|1000000
4|1|663|6630264|1000000
4|1|809|8085067|1000000
4|1|719|7195381|1000000
4|1|610|6098136|1000000
4|1|632|6318896|1000000
4|1|650|6501266|1000000
4|1|631|6305767|1000000
4|1|604|6041292|1000000
4|1|611|6109073|1000000
4|1|655|6556687|1000000
4|1|612|6116884|1000000
4|1|668|6681095|1000000
4|1|633|6324840|1000000
4|1|619|6192139|1000000
4|1|695|6946749|1000000
4|1|747|7478357|1000000
4|1|712|7117966|1000000
4|1|652|6522279|1000000
4|1|681|6802184|1000000
4|1|645|6448275|1000000
4|1|588|5883276|1000000
4|1|631|6308567|1000000
4|1|605|6048836|1000000
4|1|598|5983200|1000000
4|1|609|6093187|1000000
4|1|575|5750150|1000000
4|1|575|5748831|1000000
4|1|596|5956472|1000000
4|1|587|5876346|1000000
4|1|622|6215276|1000000
4|1|665|6652160|1000000
4|1|612|6117077|1000000
4|1|560|5604812|1000000
4|1|593|5922368|1000000
4|1|572|5728742|1000000
4|1|600|5996438|1000000
4|1|626|6254626|1000000
4|1|689|6891783|1000000
4|1|660|6606980|1000000
4|1|706|7055694|1000000
4|1|615|6146898|1000000
4|1|640|6405874|1000000
4|1|672|6715339|1000000
4|1|610|6103501|1000000
4|1|752|7515396|1000000
4|1|697|6977481|1000000
4|1|764|7632074|1000000
4|1|652|6519229|1000000
4|1|724|7247415|1000000
4|1|758|7581258|1000000
4|1|666|6658627|1000000
4|1|697|6967155|1000000
4|1|649|6493648|1000000
4|1|713|7128370|1000000
4|1|655|6549965|1000000
4|1|652|6521395|1000000
4|1|624|6237254|1000000
4|1|623|6231936|1000000
4|1|639|6386336|1000000
4|1|645|6450938|1000000
4|1|611|6113139|1000000
4|1|616|6156914|1000000
4|1|637|6368471|1000000
4|1|612|6124166|1000000
4|2|488|4886123|1000000
4|2|466|4656346|1000000
4|2|487|4877316|1000000
4|2|488|4874129|1000000
4|2|467|4668350|1000000
4|2|468|4685819|1000000
4|2|462|4619702|1000000
4|2|479|4784690|1000000
4|2|480|4802936|1000000
4|2|474|4734947|1000000
4|2|482|4826287|1000000
4|2|471|4707132|1000000
4|2|458|4585806|1000000
4|2|460|4599097|1000000
4|2|460|4592480|1000000
4|2|464|4648411|1000000
4|2|456|4555326|1000000
4|2|458|4577424|1000000
4|2|460|4605841|1000000
4|2|464|4637132|1000000
4|2|458|4580993|1000000
4|2|464|4638441|1000000
4|2|457|4573524|1000000
4|2|473|4724346|1000000
4|2|454|4541284|1000000
4|2|458|4584262|1000000
4|2|476|4752836|1000000
4|2|450|4507410|1000000
4|2|459|4590876|1000000
4|2|450|4499390|1000000
4|2|463|4622574|1000000
4|2|455|4558110|1000000
4|2|462|4615933|1000000
4|2|461|4608923|1000000
4|2|465|4652594|1000000
4|2|463|4627486|1000000
4|2|467|4674914|1000000
4|2|458|4575231|1000000
4|2|502|5024168|1000000
4|2|464|4634204|1000000
4|2|477|4769163|1000000
4|2|455|4548384|1000000
4|2|446|4461623|1000000
4|2|463|4637524|1000000
4|2|477|4761960|1000000
4|2|488|4885923|1000000
4|2|483|4828447|1000000
4|2|509|5089920|1000000
4|2|472|4721263|1000000
4|2|460|4593478|1000000
4|2|475|4758444|1000000
4|2|483|4822142|1000000
4|2|476|4766218|1000000
4|2|488|4878298|1000000
4|2|483|4827292|1000000
4|2|478|4778034|1000000
4|2|476|4766063|1000000
4|2|475|4750774|1000000
4|2|486|4859384|1000000
4|2|476|4759025|1000000
4|2|472|4721696|1000000
4|2|478|4780338|1000000
4|2|473|4731691|1000000
4|2|497|4966808|1000000
4|2|450|4495795|1000000
4|2|445|4456410|1000000
4|2|449|4488762|1000000
4|2|458|4582166|1000000
4|2|456|4556812|1000000
4|2|461|4603968|1000000
4|2|462|4620503|1000000
4|2|468|4679630|1000000
4|2|458|4587660|1000000
4|2|467|4664377|1000000
4|2|457|4575612|1000000
4|2|456|4552792|1000000
4|2|462|4625837|1000000
4|2|456|4554757|1000000
4|2|465|4655792|1000000
4|2|457|4565937|1000000
4|2|463|4628840|1000000
4|2|460|4607058|1000000
4|2|461|4605399|1000000
4|2|444|4439998|1000000
4|2|453|4527820|1000000
4|2|443|4431234|1000000
4|2|454|4538564|1000000
4|2|465|4653223|1000000
4|2|455|4552615|1000000
4|2|464|4638173|1000000
4|2|460|4594739|1000000
4|2|467|4669725|1000000
4|2|454|4539727|1000000
4|2|463|4633874|1000000
4|2|458|4584523|1000000
4|2|466|4654012|1000000
4|2|471|4710349|1000000
4|2|473|4735851|1000000
4|2|482|4817682|1000000
4|2|479|4786809|1000000
5|1|1037|10378010|1000000
5|1|1021|10208521|1000000
5|1|1003|10032583|1000000
5|1|1006|10051186|1000000
5|1|1013|10136012|1000000
5|1|1019|10191738|1000000
5|1|1030|10299040|1000000
5|1|1019|10189794|1000000
5|1|999|9990709|1000000
5|1|998|9980123|1000000
5|1|1003|10026485|1000000
5|1|1012|10123884|1000000
5|1|1006|10052304|1000000
5|1|1004|10041219|1000000
5|1|1005|10056407|1000000
5|1|1019|10184750|1000000
5|1|1003|10035107|1000000
5|1|1013|10123826|1000000
5|1|1023|10228725|1000000
5|1|1022|10224331|1000000
5|1|1011|10109729|1000000
5|1|994|9936560|1000000
5|1|1010|10103294|1000000
5|1|1004|10037650|1000000
5|1|1023|10230831|1000000
5|1|1011|10115705|1000000
5|1|990|9898585|1000000
5|1|976|9757888|1000000
5|1|963|9632084|1000000
5|1|948|9478468|1000000
5|1|943|9427999|1000000
5|1|948|9481265|1000000
5|1|948|9480291|1000000
5|1|941|9411646|1000000
5|1|959|9591643|1000000
5|1|939|9382200|1000000
5|1|932|9327268|1000000
5|1|941|9403369|1000000
5|1|944|9440408|1000000
5|1|941|9411090|1000000
5|1|932|9324827|1000000
5|1|950|9493699|1000000
5|1|939|9397232|1000000
5|1|1006|10057306|1000000
5|1|1017|10171405|1000000
5|1|1020|10196505|1000000
5|1|1002|10018196|1000000
5|1|997|9973172|1000000
5|1|1016|10161949|1000000
5|1|1019|10192582|1000000
5|1|1013|10122752|1000000
5|1|1005|10052223|1000000
5|1|1004|10035617|1000000
5|1|931|9310675|1000000
5|1|938|9384917|1000000
5|1|941|9410744|1000000
5|1|951|9508740|1000000
5|1|935|9345253|1000000
5|1|937|9371615|1000000
5|1|956|9564351|1000000
5|1|949|9489595|1000000
5|1|945|9449609|1000000
5|1|936|9354824|1000000
5|1|978|9779891|1000000
5|1|962|9620908|1000000
5|1|932|9326243|1000000
5|1|946|9462141|1000000
5|1|935|9346684|1000000
5|1|970|9694927|1000000
5|1|1026|10260621|1000000
5|1|1011|10114460|1000000
5|1|1022|10214648|1000000
5|1|1013|10138582|1000000
5|1|1020|10190682|1000000
5|1|1024|10245374|1000000
5|1|1027|10273520|1000000
5|1|1013|10127235|1000000
5|1|1015|10151322|1000000
5|1|955|9548983|1000000
5|1|931|9305419|1000000
5|1|937|9368992|1000000
5|1|957|9569805|1000000
5|1|954|9545987|1000000
5|1|941|9405640|1000000
5|1|944|9444718|1000000
5|1|943|9428613|1000000
5|1|961|9606200|1000000
5|1|941|9414256|1000000
5|1|932|9314292|1000000
5|1|938|9385437|1000000
5|1|954|9537624|1000000
5|1|934|9343133|1000000
5|1|945|9452710|1000000
5|1|929|9282145|1000000
5|1|1016|10159542|1000000
5|1|1014|10145102|1000000
5|1|1017|10168601|1000000
5|1|1017|10168670|1000000
5|1|1013|10128668|1000000
5|1|1027|10274226|1000000
